G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Northern Arizona,W,81,52
2,11/12/2021,Texas-Rio Grande Valley,W,104,50
3,11/16/2021,North Dakota State,W,97,45
4,11/19/2021,Wichita State,W,82,78
5,11/21/2021,Michigan,W,80,62
6,11/27/2021,Sacramento State,W,105,59
7,12/5/2021,Oregon State,W,90,65
8,12/8/2021,Wyoming,W,94,65
9,12/11/2021,Illinois,W,83,79
10,12/15/2021,Northern Colorado,W,101,76
11,12/18/2021,California Baptist,W,84,60
12,12/22/2021,Tennessee,L,73,77
13,1/3/2022,Washington,W,95,79
14,1/13/2022,Colorado,W,76,55
15,1/15/2022,Utah,W,82,64
16,1/20/2022,Stanford,W,85,57
17,1/23/2022,California,W,96,71
18,1/25/2022,UCLA,L,59,75
19,1/29/2022,Arizona State,W,67,56
20,2/3/2022,UCLA,W,76,66
21,2/5/2022,USC,W,72,63
22,2/7/2022,Arizona State,W,91,79
23,2/10/2022,Washington State,W,72,60
24,2/12/2022,Washington,W,92,68
25,2/17/2022,Oregon State,W,83,69
26,2/19/2022,Oregon,W,84,81
27,2/24/2022,Utah,W,97,77
28,2/26/2022,Colorado,L,63,79
29,3/1/2022,USC,W,91,71
30,3/3/2022,Stanford,W,81,69
31,3/5/2022,California,W,89,61
32,3/10/2022,Stanford,W,84,80
33,3/11/2022,Colorado,W,82,72
34,3/12/2022,UCLA,W,84,76
35,3/18/2022,Wright State,W,87,70
36,3/20/2022,TCU,W,85,80
37,3/24/2022,Houston,L,60,72
