G,Date,Opponent,W/L,Tm,Opp
1,2021-11-09,Eastern Washington,W,91,76
2,2021-11-12,San Diego,L,68,75
3,2021-11-16,Santa Clara,L,74,96
4,2021-11-18,San Francisco,L,70,73
5,2021-11-22,South Dakota State,L,75,102
6,2021-11-23,George Mason,W,88,69
7,2021-11-24,Washington,W,81,62
8,2021-11-30,Pepperdine,W,79,66
9,2021-12-15,Minnesota-Duluth,W,98,62
10,2021-12-18,Loyola Marymount,W,68,63
11,2021-12-29,Kansas,L,61,88
12,2022-01-01,New Mexico,W,79,70
13,2022-01-12,Boise State,L,70,85
14,2022-01-15,Air Force,W,75,68
15,2022-01-17,Wyoming,L,67,77
16,2022-01-21,Fresno State,W,77,73
17,2022-01-25,Colorado State,L,66,77
18,2022-01-29,Utah State,L,49,78
19,2022-02-01,UNLV,L,58,69
20,2022-02-04,Fresno State,L,56,73
21,2022-02-06,San Diego State,L,63,65
22,2022-02-08,Colorado State,L,72,82
23,2022-02-11,Utah State,W,85,72
24,2022-02-15,San Jose State,W,81,72
25,2022-02-17,San Jose State,W,90,60
26,2022-02-22,UNLV,L,54,62
27,2022-02-26,Wyoming,L,61,74
28,2022-03-01,Boise State,L,67,73
29,2022-03-05,San Diego State,L,78,79
30,2022-03-09,New Mexico,W,79,72
31,2022-03-10,Boise State,L,69,71
