G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Morehead State,W,77,54
2,11/12/2021,Louisiana-Monroe,W,93,65
3,11/19/2021,South Florida,W,58,52
4,11/24/2021,UConn,L,109,115
5,11/25/2021,Loyola (IL),W,62,53
6,11/26/2021,Syracuse,W,89,68
7,12/1/2021,UCF,W,85,68
8,12/4/2021,Yale,W,86,64
9,12/11/2021,Nebraska,W,99,68
10,12/14/2021,North Alabama,W,70,44
11,12/18/2021,Saint Louis,W,74,70
12,12/22/2021,Murray State,W,71,58
13,12/29/2021,LSU,W,70,55
14,1/4/2022,South Carolina,W,81,66
15,1/8/2022,Florida,W,85,73
16,1/11/2022,Alabama,W,81,77
17,1/15/2022,Ole Miss,W,80,71
18,1/19/2022,Georgia,W,83,60
19,1/22/2022,Kentucky,W,80,71
20,1/25/2022,Missouri,W,55,54
21,1/29/2022,Oklahoma,W,86,68
22,2/1/2022,Alabama,W,100,81
23,2/5/2022,Georgia,W,74,72
24,2/8/2022,Arkansas,L,76,80
25,2/12/2022,Texas A&M,W,75,58
26,2/16/2022,Vanderbilt,W,94,80
27,2/19/2022,Florida,L,62,63
28,2/23/2022,Ole Miss,W,77,64
29,2/26/2022,Tennessee,L,62,67
30,3/2/2022,Mississippi State,W,81,68
31,3/5/2022,South Carolina,W,82,71
32,3/11/2022,Texas A&M,L,62,67
33,3/18/2022,Jacksonville State,W,80,61
34,3/20/2022,Miami (FL),L,61,79
