G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Kentucky,W,79,71
2,11/12/2021,Army,W,82,56
3,11/13/2021,Campbell,W,67,56
4,11/16/2021,Gardner-Webb,W,92,52
5,11/19/2021,Lafayette,W,88,55
6,11/22/2021,The Citadel,W,107,81
7,11/26/2021,Gonzaga,W,84,81
8,11/30/2021,Ohio State,L,66,71
9,12/14/2021,South Carolina State,W,103,62
10,12/16/2021,Appalachian State,W,92,67
11,12/18/2021,Elon,W,87,56
12,12/22/2021,Virginia Tech,W,76,65
13,1/4/2022,Georgia Tech,W,69,57
14,1/8/2022,Miami (FL),L,74,76
15,1/12/2022,Wake Forest,W,76,64
16,1/15/2022,NC State,W,88,73
17,1/18/2022,Florida State,L,78,79
18,1/22/2022,Syracuse,W,79,59
19,1/25/2022,Clemson,W,71,69
20,1/29/2022,Louisville,W,74,65
21,1/31/2022,Notre Dame,W,57,43
22,2/5/2022,UNC,W,87,67
23,2/7/2022,Virginia,L,68,69
24,2/10/2022,Clemson,W,82,64
25,2/12/2022,Boston College,W,72,61
26,2/15/2022,Wake Forest,W,76,74
27,2/19/2022,Florida State,W,88,70
28,2/23/2022,Virginia,W,65,61
29,2/26/2022,Syracuse,W,97,72
30,3/1/2022,Pitt,W,86,56
31,3/5/2022,UNC,L,81,94
32,3/10/2022,Syracuse,W,88,79
33,3/11/2022,Miami (FL),W,80,76
34,3/12/2022,Virginia Tech,L,67,82
35,3/18/2022,Cal State Fullerton,W,78,61
36,3/20/2022,Michigan State,W,85,76
37,3/24/2022,Texas Tech,W,78,73
38,3/26/2022,Arkansas,W,78,69
39,4/2/2022,UNC,L,77,81
