G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Florida Memorial,W,74,67
2,11/12/2021,Georgia Tech,L,52,77
3,11/17/2021,Miami (OH),L,65,80
4,11/19/2021,Lamar,W,60,59
5,11/27/2021,Campbell,L,58,60
6,12/1/2021,Florida Atlantic,L,73,83
7,12/4/2021,Florida International,L,65,72
8,12/11/2021,Ohio,L,45,55
9,12/13/2021,Johnson (FL),W,104,58
10,12/16/2021,College of Charleston,W,67,59
11,12/20/2021,Miami (FL),L,72,82
12,12/22/2021,Piedmont,W,97,53
13,12/30/2021,Point,W,77,65
14,1/4/2022,Liberty,L,59,75
15,1/8/2022,North Florida,W,68,66
16,1/11/2022,Jacksonville,L,50,57
17,1/15/2022,Kennesaw State,L,49,77
18,1/18/2022,Florida Gulf Coast,L,91,93
19,1/22/2022,North Alabama,W,67,65
20,1/27/2022,Bellarmine,L,47,72
21,1/29/2022,Eastern Kentucky,W,113,95
22,2/3/2022,Lipscomb,W,77,71
23,2/5/2022,Central Arkansas,L,75,79
24,2/9/2022,Jacksonville State,W,63,57
25,2/12/2022,Florida Gulf Coast,L,82,89
26,2/16/2022,Jacksonville,L,45,67
27,2/19/2022,Liberty,L,82,88
28,2/23/2022,Kennesaw State,L,71,75
29,2/26/2022,North Florida,L,69,74
30,3/1/2022,Central Arkansas,L,73,74
