G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Arkansas-Pine Bluff,W,90,77
2,11/11/2021,Kennesaw State,W,51,44
3,11/16/2021,Nebraska,W,77,69
4,11/19/2021,Brown,W,78,57
5,11/21/2021,Colorado State,L,81,95
6,11/22/2021,Southern Illinois,W,66,64
7,11/27/2021,SIU-Edwardsville,W,70,65
8,11/30/2021,North Dakota State,W,80,55
9,12/4/2021,Iowa State,L,58,64
10,12/11/2021,BYU,W,83,71
11,12/14/2021,Arizona State,L,57,58
12,12/17/2021,Villanova,W,79,59
13,1/1/2022,Marquette,W,75,69
14,1/5/2022,Villanova,L,41,75
15,1/15/2022,Xavier,L,73,80
16,1/19/2022,St. John's (NY),W,87,64
17,1/22/2022,DePaul,W,60,47
18,1/26/2022,Butler,L,55,72
19,1/29/2022,Xavier,L,64,74
20,2/1/2022,UConn,W,59,55
21,2/4/2022,Seton Hall,L,55,74
22,2/8/2022,Butler,W,54,52
23,2/12/2022,Georgetown,W,80,66
24,2/14/2022,Georgetown,W,88,77
25,2/17/2022,DePaul,W,71,59
26,2/20/2022,Marquette,W,83,82
27,2/23/2022,St. John's (NY),W,81,78
28,2/26/2022,Providence,L,51,72
29,3/2/2022,UConn,W,64,62
30,3/5/2022,Seton Hall,L,60,65
31,3/10/2022,Marquette,W,74,63
32,3/11/2022,Providence,W,85,58
33,3/12/2022,Villanova,L,48,54
34,3/17/2022,San Diego State,W,72,69
35,3/19/2022,Kansas,L,72,79
