G,Date,Opponent,W/L,Tm,Opp
1,11/11/2021,McNeese State,W,77,61
2,11/15/2021,Southern Miss,W,83,51
3,11/18/2021,Nicholls State,W,63,50
4,11/22/2021,Santa Clara,L,66,85
5,11/24/2021,Pepperdine,W,73,64
6,11/29/2021,Austin Peay,W,68,51
7,12/2/2021,Oral Roberts,W,71,63
8,12/8/2021,Utah,W,76,62
9,12/11/2021,Texas A&M,W,68,64
10,12/18/2021,Georgetown,W,80,73
11,12/21/2021,Grambling,W,90,55
12,1/8/2022,Baylor,L,64,76
13,1/12/2022,Kansas State,W,60,57
14,1/15/2022,Oklahoma,W,59,58
15,1/19/2022,Oklahoma State,L,56,57
16,1/22/2022,Iowa State,W,59,44
17,1/25/2022,Texas,L,50,73
18,1/29/2022,LSU,W,77,68
19,1/31/2022,Oklahoma,W,72,63
20,2/5/2022,Kansas State,L,63,75
21,2/8/2022,Oklahoma State,W,77,73
22,2/12/2022,Texas Tech,L,69,82
23,2/15/2022,Iowa State,L,51,54
24,2/19/2022,Baylor,L,62,72
25,2/21/2022,West Virginia,W,77,67
26,2/23/2022,Texas,L,66,75
27,2/26/2022,Texas Tech,W,69,66
28,3/1/2022,Kansas,W,74,64
29,3/3/2022,Kansas,L,68,72
30,3/5/2022,West Virginia,L,64,70
31,3/10/2022,Texas,W,65,60
32,3/11/2022,Kansas,L,62,75
33,3/18/2022,Seton Hall,W,69,42
34,3/20/2022,Arizona,L,80,85
