G,Date,Opponent,W/L,Tm,Opp
1,11/10/2021,North Florida,W,64,46
2,11/12/2021,Abilene Christian,W,81,80
3,11/14/2021,Texas A&M-Corpus Christi,W,86,65
4,11/17/2021,Houston Christian,W,73,39
5,11/22/2021,Wisconsin,L,58,69
6,11/23/2021,Butler,W,57,50
7,11/24/2021,Notre Dame,W,73,67
8,11/30/2021,New Orleans,W,85,65
9,12/11/2021,TCU,L,64,68
10,12/18/2021,Oregon State,W,83,73
11,12/21/2021,Northwestern State,W,80,61
12,12/27/2021,Dallas Christian,W,102,52
13,12/29/2021,Central Arkansas,W,85,59
14,1/4/2022,Georgia,W,81,79
15,1/8/2022,Arkansas,W,86,81
16,1/11/2022,Ole Miss,W,67,51
17,1/15/2022,Missouri,W,67,64
18,1/19/2022,Kentucky,L,58,64
19,1/22/2022,Arkansas,L,73,76
20,1/26/2022,LSU,L,64,70
21,1/29/2022,South Carolina,L,63,74
22,2/1/2022,Tennessee,L,80,90
23,2/5/2022,Missouri,L,66,70
24,2/8/2022,LSU,L,68,76
25,2/12/2022,Auburn,W,58,75
26,2/15/2022,Florida,L,56,55
27,2/19/2022,Vanderbilt,W,67,72
28,2/22/2022,Georgia,W,91,77
29,2/26/2022,Ole Miss,W,76,66
30,3/2/2022,Alabama,W,87,71
31,3/5/2022,Mississippi State,W,67,64
32,3/10/2022,Florida,W,83,80
33,3/11/2022,Auburn,W,67,62
34,3/12/2022,Arkansas,W,82,64
35,3/13/2022,Tennessee,L,50,65
36,3/15/2022,Alcorn State,W,74,62
37,3/19/2022,Oregon,W,75,60
38,3/23/2022,Wake Forest,W,67,52
39,3/29/2022,Washington State,W,72,56
40,3/31/2022,Xavier,L,72,73
