G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Cleveland State,W,69,59
2,11/12/2021,San Diego State,W,66,60
3,11/16/2021,Oregon,W,81,49
4,11/20/2021,Central Methodist,W,97,61
5,11/24/2021,Texas Southern,W,81,64
6,11/27/2021,Utah,W,75,64
7,12/1/2021,Utah Valley,L,65,72
8,12/4/2021,Missouri State,W,74,68
9,12/8/2021,Utah State,W,82,71
10,12/11/2021,Creighton,L,71,83
11,12/18/2021,Weber State,W,89,71
12,12/22/2021,South Florida,W,54,39
13,12/23/2021,Vanderbilt,L,67,69
14,12/25/2021,Liberty,W,80,75
15,12/29/2021,Westminster (UT),W,65,53
16,1/6/2022,Pacific,W,73,51
17,1/8/2022,Saint Mary's,W,52,43
18,1/13/2022,Gonzaga,L,84,110
19,1/15/2022,San Francisco,W,71,69
20,1/20/2022,San Diego,W,79,71
21,1/22/2022,Portland,W,78,65
22,1/27/2022,Santa Clara,L,76,77
23,1/29/2022,Pacific,L,73,76
24,2/3/2022,San Francisco,L,59,73
25,2/5/2022,Gonzaga,L,57,90
26,2/10/2022,Loyola Marymount,W,83,82
27,2/12/2022,Pepperdine,W,91,85
28,2/19/2022,Saint Mary's,L,64,69
29,2/24/2022,Loyola Marymount,W,79,59
30,2/26/2022,Pepperdine,W,75,59
31,3/4/2022,Loyola Marymount,W,85,60
32,3/5/2022,San Francisco,L,63,75
33,3/16/2022,Long Beach State,W,93,72
34,3/19/2022,Northern Iowa,W,90,71
35,3/23/2022,Washington State,L,58,77
