G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Hofstra,W,83,75
2,11/12/2021,Rice,W,79,46
3,11/16/2021,Virginia,W,67,47
4,11/22/2021,Butler,W,70,52
5,11/23/2021,Wisconsin,L,63,65
6,11/24/2021,Oregon,W,78,49
7,11/30/2021,Northwestern State,W,99,58
8,12/3/2021,Bryant,W,111,44
9,12/6/2021,Alcorn State,W,77,45
10,12/11/2021,Alabama,L,82,83
11,12/14/2021,Louisiana,W,71,56
12,12/18/2021,Oklahoma State,W,72,61
13,12/22/2021,Texas State,W,80,47
14,12/28/2021,Cincinnati,,,
15,1/2/2022,Temple,W,66,61
16,1/5/2022,South Florida,W,83,66
17,1/8/2022,Wichita State,W,76,66
18,1/15/2022,Tulsa,W,66,64
19,1/18/2022,South Florida,W,74,55
20,1/22/2022,East Carolina,W,79,36
21,1/29/2022,UCF,W,63,49
22,2/2/2022,Tulane,W,73,62
23,2/6/2022,Cincinnati,W,80,58
24,2/9/2022,SMU,L,83,85
25,2/12/2022,Memphis,L,59,69
26,2/17/2022,UCF,W,70,52
27,2/20/2022,Wichita State,W,76,74
28,2/23/2022,Tulane,W,81,67
29,2/27/2022,SMU,W,75,61
30,3/1/2022,Cincinnati,W,71,53
31,3/3/2022,Temple,W,84,46
32,3/6/2022,Memphis,L,61,75
33,3/11/2022,Cincinnati,W,69,56
34,3/12/2022,Tulane,W,86,66
35,3/13/2022,Memphis,W,71,53
36,3/18/2022,UAB,W,82,68
37,3/20/2022,Illinois,W,68,53
38,3/24/2022,Arizona,W,72,60
39,3/26/2022,Villanova,L,44,50
