G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Northeastern,W,65,58
2,11/13/2021,NC State,L,74,77
3,11/16/2021,Cornell,L,68,78
4,11/18/2021,SUNY-Polytechnic,W,97,50
5,11/20/2021,Syracuse,W,100,85
6,11/24/2021,Harvard,L,84,89
7,11/29/2021,Niagara,L,59,70
8,12/3/2021,Northeastern,L,69,74
9,12/6/2021,Columbia,W,89,61
10,12/9/2021,Pitt,L,68,71
11,12/12/2021,St. John's (NY),L,64,82
12,12/19/2021,Monmouth,L,66,77
13,12/22/2021,Vermont,L,68,78
14,1/4/2022,Lehigh,L,81,85
15,1/10/2022,Army,W,76,57
16,1/13/2022,Navy,W,69,50
17,1/19/2022,Bucknell,W,75,56
18,1/24/2022,Loyola (MD),W,65,52
19,1/28/2022,Boston University,L,72,76
20,1/31/2022,Lafayette,W,72,61
21,2/2/2022,Bucknell,W,83,69
22,2/5/2022,American,W,86,68
23,2/7/2022,Holy Cross,W,87,60
24,2/9/2022,Lehigh,W,78,62
25,2/12/2022,Loyola (MD),W,64,56
26,2/14/2022,Lafayette,W,69,61
27,2/16/2022,Army,W,100,90
28,2/19/2022,Boston University,W,72,53
29,2/21/2022,American,W,63,49
30,2/23/2022,Holy Cross,W,78,71
31,2/26/2022,Navy,W,74,69
32,3/3/2022,Bucknell,W,96,68
33,3/6/2022,Lehigh,W,81,61
34,3/9/2022,Navy,W,74,58
35,3/18/2022,Wisconsin,L,60,67
