G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Ohio State,L,66,67
2,11/13/2021,Point Park,W,102,46
3,11/18/2021,Wheeling Jesuit,W,99,38
4,11/22/2021,Fordham,L,43,63
5,11/23/2021,Appalachian State,L,45,57
6,11/24/2021,Evansville,W,69,60
7,12/1/2021,Marshall,W,88,86
8,12/4/2021,Southern,W,79,62
9,12/12/2021,Florida A&M,W,73,66
10,12/15/2021,Wright State,W,66,48
11,1/1/2022,Buffalo,W,88,76
12,1/4/2022,Ohio,L,63,69
13,1/11/2022,Ball State,W,84,74
14,1/14/2022,Kent State,L,55,67
15,1/18/2022,Western Michigan,W,74,73
16,1/20/2022,Bowling Green State,W,91,66
17,1/22/2022,Eastern Michigan,W,46,44
18,1/25/2022,Central Michigan,W,60,56
19,1/28/2022,Toledo,L,76,84
20,2/4/2022,Miami (OH),W,66,55
21,2/6/2022,Miami (OH),W,71,59
22,2/8/2022,Northern Illinois,W,70,64
23,2/11/2022,Kent State,L,64,66
24,2/15/2022,Western Michigan,L,57,61
25,2/17/2022,Northern Illinois,L,63,66
26,2/19/2022,Eastern Michigan,W,67,48
27,2/22/2022,Bowling Green State,W,82,68
28,2/25/2022,Ohio,W,91,83
29,3/1/2022,Ball State,W,79,60
30,3/4/2022,Central Michigan,W,57,56
31,3/10/2022,Buffalo,W,70,68
32,3/11/2022,Toledo,W,70,62
33,3/12/2022,Kent State,W,75,55
34,3/17/2022,UCLA,L,53,57
