G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Duke,L,71,79
2,11/12/2021,Robert Morris,W,100,60
3,11/16/2021,Mount St. Mary's,W,80,55
4,11/19/2021,Ohio,W,77,59
5,11/22/2021,Albany (NY),W,86,61
6,11/26/2021,North Florida,W,86,52
7,11/29/2021,Central Michigan,W,85,57
8,12/7/2021,Southern,W,76,64
9,12/11/2021,Notre Dame,L,62,66
10,12/18/2021,UNC,W,98,69
11,12/22/2021,Western Kentucky,W,95,60
12,12/29/2021,Missouri,W,83,56
13,12/31/2021,High Point,W,92,48
14,1/4/2022,LSU,L,60,65
15,1/8/2022,Georgia,W,92,77
16,1/11/2022,Vanderbilt,W,78,66
17,1/15/2022,Tennessee,W,107,79
18,1/19/2022,Texas A&M,W,64,58
19,1/22/2022,Auburn,L,71,80
20,1/25/2022,Mississippi State,W,82,74
21,1/29/2022,Kansas,W,80,62
22,2/2/2022,Vanderbilt,W,77,70
23,2/5/2022,Alabama,W,66,55
24,2/8/2022,South Carolina,W,86,76
25,2/12/2022,Florida,W,78,57
26,2/15/2022,Tennessee,L,63,76
27,2/19/2022,Alabama,W,90,81
28,2/23/2022,LSU,W,71,66
29,2/26/2022,Arkansas,L,73,75
30,3/1/2022,Ole Miss,W,83,72
31,3/5/2022,Florida,W,71,63
32,3/11/2022,Vanderbilt,W,77,71
33,3/12/2022,Tennessee,L,62,69
34,3/17/2022,St. Peter's,L,79,85
