G,Date,Opponent,W/L,Tm,Opp
1,11/12/2021,Incarnate Word,W,87,60
2,11/15/2021,Nicholls State,W,89,60
3,11/17/2021,Central Arkansas,W,92,47
4,11/20/2021,Stanford,W,86,48
5,11/24/2021,Arizona State,W,75,63
6,11/25/2021,VCU,W,69,61
7,11/26/2021,Michigan State,W,75,58
8,12/4/2021,Arkansas-Pine Bluff,W,99,54
9,12/12/2021,Villanova,W,57,36
10,12/18/2021,Oregon,W,78,70
11,12/20/2021,Alcorn State,W,94,57
12,12/28/2021,Northwestern State,W,104,68
13,1/1/2022,Iowa State,W,77,72
14,1/4/2022,Oklahoma,W,84,74
15,1/8/2022,TCU,W,76,64
16,1/11/2022,Texas Tech,L,62,65
17,1/15/2022,Oklahoma State,L,54,61
18,1/18/2022,West Virginia,W,77,68
19,1/22/2022,Oklahoma,W,65,51
20,1/25/2022,Kansas State,W,74,49
21,1/29/2022,Alabama,L,78,87
22,1/31/2022,West Virginia,W,81,77
23,2/5/2022,Kansas,L,59,83
24,2/9/2022,Kansas State,W,75,60
25,2/12/2022,Texas,W,80,63
26,2/16/2022,Texas Tech,L,73,83
27,2/19/2022,TCU,W,72,62
28,2/21/2022,Oklahoma State,W,66,64
29,2/26/2022,Kansas,W,80,70
30,2/28/2022,Texas,W,68,61
31,3/5/2022,Iowa State,W,75,68
32,3/10/2022,Oklahoma,L,67,72
33,3/17/2022,Norfolk State,W,85,49
34,3/19/2022,UNC,L,86,93
