G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Montana State,W,94,90
2,11/13/2021,New Mexico,W,87,76
3,11/15/2021,Maine,W,90,46
4,11/19/2021,Southern Illinois,L,63,67
5,11/20/2021,Duquesne,W,84,76
6,11/22/2021,Brown,W,54,52
7,11/28/2021,Stanford,W,80,76
8,12/1/2021,UCLA,L,61,73
9,12/4/2021,Tennessee,L,54,69
10,12/8/2021,Eastern Washington,W,60,57
11,12/10/2021,Milwaukee,W,65,54
12,12/18/2021,Cal State Bakersfield,W,60,46
13,1/6/2022,Washington State,W,83,78
14,1/9/2022,Washington,W,78,64
15,1/13/2022,Arizona,L,55,76
16,1/15/2022,Arizona State,W,75,57
17,1/20/2022,USC,L,58,61
18,1/22/2022,UCLA,L,65,71
19,1/25/2022,Oregon,W,82,78
20,1/27/2022,Washington,L,58,60
21,1/30/2022,Washington State,L,43,70
22,2/3/2022,Oregon,L,51,66
23,2/5/2022,Oregon State,W,86,63
24,2/12/2022,Utah,W,81,76
25,2/15/2022,Oregon State,W,90,64
26,2/17/2022,California,W,70,62
27,2/19/2022,Stanford,W,70,53
28,2/24/2022,Arizona State,L,65,82
29,2/26/2022,Arizona,W,79,63
30,3/5/2022,Utah,W,84,71
31,3/10/2022,Oregon,W,80,69
32,3/11/2022,Arizona,L,72,82
33,3/15/2022,St. Bonaventure,L,68,76
