G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,UT-Martin,W,90,62
2,11/14/2021,ETSU,W,94,62
3,11/20/2021,Villanova,L,53,71
4,11/21/2021,UNC,W,89,72
5,11/26/2021,Tennessee Tech,W,80,69
6,11/30/2021,Presbyterian,W,86,44
7,12/4/2021,Colorado,W,69,54
8,12/7/2021,Texas Tech,L,52,57
9,12/11/2021,UNC Greensboro,W,76,36
10,12/14/2021,USC Upstate,W,96,52
11,12/22/2021,Arizona,W,77,73
12,12/29/2021,Alabama,L,68,73
13,1/5/2022,Ole Miss,W,66,60
14,1/8/2022,LSU,L,67,79
15,1/11/2022,South Carolina,W,66,46
16,1/15/2022,Kentucky,L,79,107
17,1/18/2022,Vanderbilt,W,68,60
18,1/22/2022,LSU,W,64,50
19,1/26/2022,Florida,W,78,71
20,1/29/2022,Texas,L,51,52
21,2/1/2022,Texas A&M,W,90,80
22,2/5/2022,South Carolina,W,81,57
23,2/9/2022,Mississippi State,W,72,63
24,2/12/2022,Vanderbilt,W,73,64
25,2/15/2022,Kentucky,W,76,63
26,2/19/2022,Arkansas,L,48,58
27,2/22/2022,Missouri,W,80,61
28,2/26/2022,Auburn,W,67,62
29,3/1/2022,Georgia,W,75,68
30,3/5/2022,Arkansas,W,78,74
31,3/11/2022,Mississippi State,W,72,59
32,3/12/2022,Kentucky,W,69,62
33,3/13/2022,Texas A&M,W,65,50
34,3/17/2022,Longwood,W,88,56
35,3/19/2022,Michigan,L,68,76
