G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Bradley,W,81,65
2,11/12/2021,Alabama,L,88,104
3,11/14/2021,Stephen F. Austin,W,83,71
4,11/17/2021,Montana State,W,91,74
5,11/18/2021,Presentation College,W,99,62
6,11/22/2021,Nevada,W,102,75
7,11/23/2021,Washington,L,76,87
8,11/24/2021,George Mason,W,80,76
9,11/30/2021,Prairie View,W,99,90
10,12/3/2021,Minnesota-Morris,W,112,47
11,12/8/2021,Idaho,L,84,98
12,12/11/2021,Washington State,W,77,74
13,12/15/2021,Missouri State,L,63,75
14,12/20/2021,Kansas City,W,89,57
15,12/22/2021,Oral Roberts,W,82,76
16,12/30/2021,North Dakota State,W,90,86
17,1/8/2022,South Dakota,W,84,65
18,1/13/2022,Omaha,W,95,86
19,1/15/2022,Denver,W,80,62
20,1/20/2022,St. Thomas,W,92,77
21,1/22/2022,Western Illinois,W,93,75
22,1/27/2022,North Dakota,W,96,61
23,1/29/2022,North Dakota State,W,80,76
24,1/31/2022,North Dakota,W,70,64
25,2/5/2022,South Dakota,W,89,79
26,2/10/2022,Denver,W,84,61
27,2/12/2022,Omaha,W,82,61
28,2/17/2022,Western Illinois,W,91,66
29,2/19/2022,St. Thomas,W,79,60
30,2/24/2022,Oral Roberts,W,106,102
31,2/26/2022,Kansas City,W,86,75
32,3/5/2022,Omaha,W,87,79
33,3/7/2022,South Dakota,W,83,60
34,3/8/2022,North Dakota State,W,75,69
35,3/17/2022,Providence,L,57,66
