G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Iowa,L,73,106
2,11/12/2021,Virginia-Lynchburg,W,80,46
3,11/14/2021,Mid-Atlantic Christian,W,93,47
4,11/19/2021,American,W,82,42
5,11/20/2021,UMBC,W,82,55
6,11/21/2021,Western Carolina,L,53,64
7,11/26/2021,Old Dominion,L,61,62
8,11/30/2021,Georgetown,L,83,91
9,12/4/2021,Delaware State,W,78,58
10,12/11/2021,Morgan State,W,93,55
11,12/14/2021,Piedmont,W,98,56
12,12/22/2021,Abilene Christian,L,58,74
13,1/5/2022,Pfeiffer,W,109,69
14,1/12/2022,Radford,W,83,75
15,1/15/2022,Gardner-Webb,W,66,60
16,1/19/2022,Campbell,W,72,64
17,1/22/2022,Presbyterian,W,71,70
18,1/24/2022,Hampton,W,73,49
19,1/26/2022,North Carolina A&T,W,79,71
20,1/29/2022,Winthrop,W,92,88
21,2/2/2022,UNC Asheville,W,56,48
22,2/5/2022,Charleston Southern,W,69,67
23,2/10/2022,USC Upstate,W,85,72
24,2/12/2022,North Carolina A&T,L,62,70
25,2/15/2022,High Point,W,70,66
26,2/17/2022,High Point,W,78,71
27,2/19/2022,Hampton,W,76,72
28,2/23/2022,Radford,W,71,66
29,2/26/2022,Campbell,W,60,55
30,3/4/2022,North Carolina A&T,W,79,65
31,3/5/2022,USC Upstate,W,79,70
32,3/6/2022,Winthrop,W,79,58
33,3/17/2022,Tennessee,L,56,88
