G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Maryville (TN),W,99,78
2,11/11/2021,Spring Hill,W,86,69
3,11/15/2021,San Francisco,L,55,77
4,11/18/2021,Oregon State,W,78,77
5,11/26/2021,North Carolina A&T,W,77,75
6,11/27/2021,McNeese State,W,83,75
7,11/30/2021,Mississippi College,W,83,58
8,12/5/2021,Belmont,L,73,85
9,12/8/2021,Alabama State,W,74,64
10,12/11/2021,Alabama A&M,W,52,50
11,12/18/2021,Kennesaw State,W,85,84
12,12/21/2021,Ole Miss,W,75,73
13,12/29/2021,Furman,L,49,81
14,1/5/2022,Mercer,L,80,83
15,1/8/2022,Western Carolina,W,85,60
16,1/12/2022,Wofford,L,64,87
17,1/15/2022,ETSU,L,85,88
18,1/20/2022,VMI,L,80,99
19,1/22/2022,UNC Greensboro,L,58,61
20,1/26/2022,Mercer,W,75,61
21,1/29/2022,Western Carolina,W,74,64
22,2/2/2022,Chattanooga,W,80,72
23,2/5/2022,The Citadel,L,93,107
24,2/9/2022,Wofford,W,65,60
25,2/12/2022,ETSU,W,77,73
26,2/17/2022,VMI,W,100,99
27,2/19/2022,UNC Greensboro,W,55,49
28,2/21/2022,The Citadel,W,76,74
29,2/23/2022,Furman,W,83,75
30,2/26/2022,Chattanooga,L,57,70
31,3/5/2022,UNC Greensboro,W,66,64
32,3/6/2022,Furman,L,68,71
