G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Eastern Illinois,W,80,56
2,11/12/2021,High Point,W,95,60
3,11/16/2021,New Orleans,W,83,67
4,11/18/2021,FDU,W,82,46
5,11/22/2021,Providence,L,72,77
6,11/23/2021,Georgia,W,78,62
7,11/30/2021,Wake Forest,L,73,77
8,12/5/2021,Maryland,W,67,61
9,12/12/2021,NJIT,W,70,52
10,12/20/2021,Illinois-Springfield,W,90,50
11,1/2/2022,Michigan State,L,67,73
12,1/5/2022,Penn State,L,70,74
13,1/9/2022,Ohio State,L,87,95
14,1/12/2022,Maryland,L,87,94
15,1/15/2022,Michigan State,W,64,62
16,1/18/2022,Wisconsin,L,76,82
17,1/23/2022,Purdue,L,60,80
18,1/26/2022,Michigan,L,70,72
19,1/29/2022,Illinois,L,56,59
20,2/1/2022,Rutgers,W,79,78
21,2/5/2022,Nebraska,W,87,63
22,2/8/2022,Indiana,W,59,51
23,2/13/2022,Illinois,L,66,73
24,2/16/2022,Purdue,L,64,70
25,2/19/2022,Minnesota,L,60,77
26,2/22/2022,Nebraska,W,77,65
27,2/25/2022,Penn State,L,60,67
28,2/28/2022,Iowa,L,61,82
29,3/6/2022,Minnesota,W,75,62
30,3/9/2022,Nebraska,W,71,69
31,3/10/2022,Iowa,L,76,112
