G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Utah Tech,W,97,63
2,11/13/2021,Texas,W,86,74
3,11/15/2021,Alcorn State,W,84,57
4,11/19/2021,Bellarmine,W,92,50
5,11/22/2021,Central Michigan,W,107,54
6,11/23/2021,UCLA,W,83,63
7,11/26/2021,Duke,L,81,84
8,11/29/2021,Tarleton State,W,64,55
9,12/4/2021,Alabama,L,82,91
10,12/9/2021,Merrimack,W,80,55
11,12/18/2021,Texas Tech,W,69,55
12,12/20/2021,Northern Arizona,W,95,49
13,12/28/2021,North Alabama,W,93,63
14,1/8/2022,Pepperdine,W,117,83
15,1/13/2022,BYU,W,110,84
16,1/15/2022,Santa Clara,W,115,83
17,1/20/2022,San Francisco,W,78,62
18,1/27/2022,Loyola Marymount,W,89,55
19,1/29/2022,Portland,W,104,72
20,2/3/2022,San Diego,W,92,62
21,2/5/2022,BYU,W,90,57
22,2/10/2022,Pacific,W,89,51
23,2/12/2022,Saint Mary's,W,74,58
24,2/16/2022,Pepperdine,W,86,66
25,2/19/2022,Santa Clara,W,81,69
26,2/24/2022,San Francisco,W,89,73
27,2/26/2022,Saint Mary's,L,57,67
28,3/7/2022,San Francisco,W,81,71
29,3/8/2022,Saint Mary's,W,82,69
30,3/17/2022,Georgia State,W,93,72
31,3/19/2022,Memphis,W,82,78
32,3/24/2022,Arkansas,L,68,74
