G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,District of Columbia,W,87,59
2,11/10/2021,Regent,W,118,54
3,11/13/2021,Bradley,W,76,64
4,11/16/2021,Villanova,L,81,100
5,11/20/2021,High Point,L,63,73
6,11/21/2021,William & Mary,W,82,76
7,11/26/2021,Austin Peay,L,67,69
8,11/30/2021,Mount St. Mary's,L,70,72
9,12/4/2021,American,W,90,56
10,12/15/2021,Georgetown,L,73,85
11,12/18/2021,North Carolina A&T,W,79,57
12,12/21/2021,Harvard,L,69,77
13,1/15/2022,Norfolk State,L,74,77
14,1/17/2022,Notre Dame,L,68,71
15,1/22/2022,Morgan State,W,91,82
16,1/24/2022,Coppin State,L,81,83
17,1/29/2022,North Carolina Central,W,75,74
18,1/31/2022,South Carolina State,L,55,58
19,2/5/2022,Maryland-Eastern Shore,W,72,64
20,2/7/2022,Delaware State,W,69,64
21,2/8/2022,Gallaudet,W,96,38
22,2/12/2022,Delaware State,W,85,72
23,2/14/2022,Maryland-Eastern Shore,W,77,71
24,2/19/2022,Morgan State,W,68,66
25,2/21/2022,Coppin State,L,82,86
26,2/26/2022,North Carolina Central,W,77,67
27,2/28/2022,South Carolina State,W,72,62
28,3/3/2022,Norfolk State,L,61,83
29,3/9/2022,Coppin State,L,57,59
