G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,North Carolina Central,W,73,61
2,11/11/2022,Monmouth,W,89,42
3,11/14/2022,Northern Iowa,,,
4,11/18/2022,Baylor,W,86,79
5,11/20/2022,Illinois,W,70,61
6,11/25/2022,Maryland-Eastern Shore,W,72,45
7,11/29/2022,Michigan,W,70,68
8,12/3/2022,Florida State,W,62,57
9,12/6/2022,James Madison,W,55,50
10,12/17/2022,Houston,L,61,69
11,12/20/2022,Miami (FL),L,64,66
12,12/28/2022,Albany (NY),W,66,46
13,12/31/2022,Georgia Tech,W,74,56
14,1/3/2023,Pitt,L,65,68
15,1/7/2023,Syracuse,W,73,66
16,1/10/2023,UNC,W,65,58
17,1/14/2023,Florida State,W,67,58
18,1/18/2023,Virginia Tech,W,78,68
19,1/21/2023,Wake Forest,W,76,67
20,1/28/2023,Boston College,W,76,57
21,1/30/2023,Syracuse,W,67,62
22,2/4/2023,Virginia Tech,L,68,74
23,2/7/2023,NC State,W,63,50
24,2/11/2023,Duke,W,69,62
25,2/15/2023,Louisville,W,61,58
26,2/18/2023,Notre Dame,W,57,55
27,2/22/2023,Boston College,L,48,63
28,2/25/2023,UNC,L,63,71
29,2/28/2023,Clemson,W,64,57
30,3/4/2023,Louisville,W,75,60
31,3/9/2023,UNC,W,68,59
32,3/10/2023,Clemson,W,76,56
33,3/11/2023,Duke,L,49,59
34,3/16/2023,Furman,L,67,68
