G,Date,Opponent,W/L,Tm,Opp
1,11/8/2022,South Carolina State,W,80,77
2,11/11/2022,Clemson,W,60,58
3,11/17/2022,Colorado State,L,53,85
4,11/18/2022,Davidson,L,60,69
5,11/20/2022,Furman,L,60,79
6,11/25/2022,USC Upstate,W,68,53
7,11/30/2022,George Washington,L,55,79
8,12/3/2022,Georgetown,W,74,71
9,12/11/2022,Presbyterian,W,68,57
10,12/14/2022,UAB,L,70,84
11,12/17/2022,East Carolina,L,56,64
12,12/22/2022,Western Kentucky,W,65,58
13,12/30/2022,Eastern Michigan,W,74,64
14,1/3/2023,Vanderbilt,L,79,84
15,1/7/2023,Tennessee,L,42,85
16,1/10/2023,Kentucky,W,71,68
17,1/14/2023,Texas A&M,L,53,94
18,1/17/2023,Ole Miss,L,58,70
19,1/21/2023,Auburn,L,66,81
20,1/25/2023,Florida,L,60,81
21,1/28/2023,Georgia,L,78,81
22,1/31/2023,Mississippi State,L,51,66
23,2/4/2023,Arkansas,L,63,65
24,2/7/2023,Missouri,L,74,83
25,2/11/2023,Ole Miss,W,64,61
26,2/14/2023,Vanderbilt,L,64,75
27,2/18/2023,LSU,W,82,73
28,2/22/2023,Alabama,L,76,78
29,2/25/2023,Tennessee,L,45,85
30,2/28/2023,Mississippi State,L,68,74
31,3/4/2023,Georgia,W,61,55
32,3/8/2023,Ole Miss,L,61,67
