G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Gardner-Webb,W,65,63
2,11/11/2022,Southeastern Louisiana,W,80,69
3,11/14/2022,Weber State,W,77,52
4,11/17/2022,South Carolina,W,85,53
5,11/18/2022,College of Charleston,L,64,74
6,11/20/2022,Penn State,L,56,68
7,11/26/2022,Mississippi Valley State,W,88,45
8,11/30/2022,Loyola Marymount,W,87,71
9,12/3/2022,Northern Colorado,L,83,88
10,12/8/2022,Colorado,L,65,93
11,12/11/2022,Peru State,W,115,72
12,12/18/2022,Saint Mary's,W,62,60
13,12/21/2022,USC,L,64,73
14,12/28/2022,New Mexico,L,69,88
15,12/31/2022,San Jose State,L,70,78
16,1/4/2023,Nevada,L,69,80
17,1/7/2023,Fresno State,W,79,57
18,1/10/2023,Air Force,L,74,85
19,1/14/2023,UNLV,W,82,81
20,1/18/2023,San Diego State,L,76,82
21,1/21/2023,Wyoming,L,57,58
22,1/28/2023,Boise State,L,59,80
23,1/31/2023,UNLV,L,71,83
24,2/4/2023,Utah State,L,79,88
25,2/7/2023,Air Force,W,69,53
26,2/15/2023,Boise State,L,78,80
27,2/18/2023,Fresno State,W,60,57
28,2/21/2023,San Diego State,L,58,77
29,2/24/2023,Wyoming,W,84,71
30,2/28/2023,San Jose State,L,46,63
31,3/3/2023,New Mexico,W,92,84
32,3/8/2023,Fresno State,W,67,65
33,3/9/2023,San Diego State,L,61,64
