G,Date,Opponent,W/L,Tm,Opp
1,11/9/2022,IU Indianapolis,W,80,48
2,11/14/2022,Wofford,W,80,72
3,11/18/2022,Buffalo,W,80,72
4,11/20/2022,Wyoming,W,61,56
5,11/21/2022,Tarleton State,W,71,64
6,11/26/2022,Louisiana,W,76,64
7,11/30/2022,Indiana State,L,73,75
8,12/3/2022,UIC,W,77,64
9,12/7/2022,Omaha,W,78,65
10,12/10/2022,Richmond,L,52,82
11,12/17/2022,Saint Louis,L,75,83
12,12/20/2022,Mississippi State,W,58,52
13,12/21/2022,St. Ambrose,W,124,48
14,12/29/2022,Valparaiso,W,68,63
15,1/1/2023,Missouri State,L,49,52
16,1/4/2023,Southern Illinois,L,49,53
17,1/7/2023,Murray State,W,82,64
18,1/10/2023,UIC,W,76,71
19,1/14/2023,Bradley,W,86,61
20,1/18/2023,Missouri State,L,62,65
21,1/21/2023,Evansville,W,97,61
22,1/24/2023,Indiana State,W,70,68
23,1/29/2023,Belmont,W,79,61
24,2/1/2023,Northern Iowa,W,88,81
25,2/4/2023,Valparaiso,W,85,82
26,2/7/2023,Murray State,W,92,68
27,2/11/2023,Southern Illinois,W,82,59
28,2/15/2023,Northern Iowa,W,82,74
29,2/19/2023,Belmont,W,70,56
30,2/22/2023,Illinois State,W,82,51
31,2/26/2023,Bradley,L,61,73
32,3/3/2023,Murray State,W,74,62
33,3/4/2023,Southern Illinois,W,65,52
34,3/5/2023,Bradley,W,77,51
35,3/17/2023,Miami (FL),L,56,63
