G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Southern Utah,W,89,81
2,11/11/2022,South Alabama,W,80,74
3,11/15/2022,SMU,W,84,63
4,11/19/2022,New Mexico State,,,
5,11/25/2022,Jacksonville State,W,79,61
6,11/26/2022,North Dakota State,W,76,55
7,11/27/2022,Northern Colorado,W,98,74
8,11/30/2022,Saint Mary's,W,69,65
9,12/3/2022,New Mexico State,,,
10,12/6/2022,Western New Mexico,W,102,63
11,12/10/2022,UTSA,W,94,76
12,12/12/2022,San Francisco,W,67,64
13,12/18/2022,Iona,W,82,74
14,12/20/2022,Prairie View,W,94,63
15,12/28/2022,Colorado State,W,88,69
16,12/31/2022,Wyoming,W,76,75
17,1/3/2023,Fresno State,L,67,71
18,1/7/2023,UNLV,L,77,84
19,1/9/2023,Oral Roberts,W,82,75
20,1/14/2023,San Diego State,W,76,67
21,1/17/2023,San Jose State,W,77,57
22,1/20/2023,Boise State,W,81,79
23,1/23/2023,Nevada,L,94,97
24,1/27/2023,Air Force,W,81,73
25,2/1/2023,Utah State,L,73,84
26,2/7/2023,Nevada,L,76,77
27,2/10/2023,Air Force,L,77,89
28,2/14/2023,Wyoming,L,56,70
29,2/17/2023,San Jose State,W,96,68
30,2/22/2023,Boise State,L,77,82
31,2/25/2023,San Diego State,L,71,73
32,2/28/2023,Fresno State,W,94,80
33,3/3/2023,Colorado State,L,84,92
34,3/8/2023,Wyoming,W,87,76
35,3/9/2023,Utah State,L,76,91
36,3/15/2023,Utah Valley,L,69,83
