G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Eastern Illinois,W,87,57
2,11/11/2022,Kansas City,W,86,48
3,11/14/2022,Monmouth,W,103,65
4,11/18/2022,UCLA,W,79,70
5,11/20/2022,Virginia,L,61,70
6,11/25/2022,Lindenwood,W,92,59
7,11/29/2022,Syracuse,W,73,44
8,12/2/2022,Maryland,L,66,71
9,12/6/2022,Texas,W,85,78
10,12/10/2022,Penn State,L,59,74
11,12/17/2022,Alabama A&M,W,68,47
12,12/22/2022,Missouri,L,71,93
13,12/29/2022,Bethune-Cookman,W,85,52
14,1/4/2023,Northwestern,L,60,73
15,1/7/2023,Wisconsin,W,79,69
16,1/10/2023,Nebraska,W,76,50
17,1/13/2023,Michigan State,W,75,66
18,1/16/2023,Minnesota,W,78,60
19,1/19/2023,Indiana,L,65,80
20,1/24/2023,Ohio State,W,69,60
21,1/28/2023,Wisconsin,W,61,51
22,1/31/2023,Nebraska,W,72,56
23,2/4/2023,Iowa,L,79,81
24,2/20/2023,Minnesota,W,78,69
25,2/11/2023,Rutgers,W,69,60
26,2/14/2023,Penn State,L,81,93
27,2/18/2023,Indiana,L,68,71
28,2/23/2023,Northwestern,W,66,62
29,2/26/2023,Ohio State,L,60,72
30,3/2/2023,Michigan,W,91,87
31,3/5/2023,Purdue,L,71,76
32,3/9/2023,Penn State,L,76,79
33,3/16/2023,Arkansas,L,63,73
