G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Florida A&M,W,80,45
2,11/11/2022,UC-Irvine,L,56,69
3,11/15/2022,Montana State,W,81,51
4,11/20/2022,Houston,L,56,66
5,11/24/2022,UConn,L,59,83
6,11/26/2022,Michigan State,L,70,74
7,11/27/2022,Villanova,W,74,67
8,12/1/2022,Washington State,W,74,60
9,12/4/2022,UCLA,L,56,65
10,12/10/2022,Nevada,W,78,65
11,12/14/2022,UC-Riverside,W,71,65
12,12/17/2022,Portland,W,78,56
13,12/20/2022,Utah Valley,L,72,77
14,12/31/2022,Oregon State,W,77,68
15,1/5/2023,Colorado,L,41,68
16,1/7/2023,Utah,W,70,60
17,1/12/2023,Arizona State,L,73,90
18,1/14/2023,Arizona,W,87,68
19,1/18/2023,California,W,87,58
20,1/21/2023,Stanford,L,64,71
21,1/26/2023,Colorado,W,75,69
22,1/28/2023,Utah,W,68,56
23,2/2/2023,Arizona,L,76,91
24,2/4/2023,Arizona State,W,75,70
25,2/9/2023,USC,W,78,60
26,2/11/2023,UCLA,L,63,70
27,2/15/2023,Washington,L,71,72
28,2/19/2023,Washington State,L,65,68
29,2/25/2023,Oregon State,W,69,67
30,3/2/2023,California,W,84,51
31,3/4/2023,Stanford,W,73,68
32,3/9/2023,Washington State,W,75,70
33,3/10/2023,UCLA,L,56,75
34,3/15/2023,UC-Irvine,W,84,58
35,3/19/2023,UCF,W,68,54
36,3/21/2023,Wisconsin,L,58,61
