G,Date,Opponent,W/L,Tm,Opp
1,11/10/2022,Eastern Kentucky,W,66,60
2,11/12/2022,Kentucky State,W,127,61
3,11/15/2022,Indianapolis,W,68,50
4,11/21/2022,Akron,L,53,72
5,11/22/2022,Illinois State,W,78,66
6,11/23/2022,Tulane,W,71,65
7,11/26/2022,South Carolina State,W,90,64
8,11/30/2022,Austin Peay,W,75,74
9,12/10/2022,Wright State,W,64,60
10,12/14/2022,Louisville,L,83,94
11,12/22/2022,South Carolina,L,58,65
12,12/29/2022,Rice,L,78,81
13,12/31/2022,Middle Tennessee,L,60,65
14,1/5/2023,North Texas,L,66,70
15,1/7/2023,UTSA,W,74,64
16,1/11/2023,UAB,W,80,78
17,1/14/2023,Florida International,W,70,59
18,1/16/2023,Florida Atlantic,L,62,76
19,1/19/2023,Louisiana Tech,L,74,85
20,1/21/2023,Charlotte,L,71,75
21,1/26/2023,Florida International,L,69,78
22,1/28/2023,Florida Atlantic,L,63,70
23,2/2/2023,UTSA,W,81,74
24,2/4/2023,UTEP,W,74,69
25,2/9/2023,Middle Tennessee,W,93,89
26,2/16/2023,Charlotte,L,64,68
27,2/18/2023,Rice,L,77,83
28,2/23/2023,Louisiana Tech,W,76,66
29,2/25/2023,UAB,L,60,72
30,3/2/2023,UTEP,W,73,68
31,3/4/2023,North Texas,L,33,67
32,3/8/2023,UTEP,W,73,67
33,3/9/2023,Florida Atlantic,L,51,75
