G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,UNC Wilmington,W,69,56
2,11/11/2022,College of Charleston,W,102,86
3,11/15/2022,Gardner-Webb,W,72,66
4,11/20/2022,James Madison,W,80,64
5,11/24/2022,Portland,W,89,81
6,11/25/2022,Iowa State,L,65,70
7,11/27/2022,Alabama,L,101,103
8,11/30/2022,Indiana,L,65,77
9,12/4/2022,Virginia Tech,L,72,80
10,12/10/2022,Georgia Tech,W,75,59
11,12/13/2022,The Citadel,W,100,67
12,12/17/2022,Ohio State,W,89,84
13,12/21/2022,Michigan,W,80,76
14,12/30/2022,Pitt,L,74,76
15,1/4/2023,Wake Forest,W,88,79
16,1/7/2023,Notre Dame,W,81,64
17,1/10/2023,Virginia,L,58,65
18,1/14/2023,Louisville,W,80,59
19,1/17/2023,Boston College,W,72,64
20,1/21/2023,NC State,W,80,69
21,1/24/2023,Syracuse,W,72,68
22,2/1/2023,Pitt,L,64,65
23,2/4/2023,Duke,L,57,63
24,2/7/2023,Wake Forest,L,85,92
25,2/11/2023,Clemson,W,91,71
26,2/13/2023,Miami (FL),L,72,80
27,2/19/2023,NC State,L,69,77
28,2/22/2023,Notre Dame,W,63,59
29,2/25/2023,Virginia,W,71,63
30,2/27/2023,Florida State,W,77,66
31,3/4/2023,Duke,L,57,62
32,3/8/2023,Boston College,W,85,61
33,3/9/2023,Virginia,L,59,68
