G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Montana State,W,60,54
2,11/9/2022,San Diego Christian,W,101,50
3,11/12/2022,Nevada,L,46,59
4,11/18/2022,Grambling,W,81,48
5,11/21/2022,Wichita State,L,43,55
6,11/22/2022,Northern Iowa,W,69,67
7,11/26/2022,Benedictine,W,110,53
8,11/29/2022,Alcorn State,W,80,72
9,12/3/2022,Wyoming,W,66,58
10,12/7/2022,Loyola Marymount,L,65,69
11,12/10/2022,North Texas,L,58,60
12,12/17/2022,Pepperdine,W,83,73
13,12/20/2022,Idaho State,W,68,66
14,12/29/2022,California Baptist,W,73,59
15,1/5/2023,Sam Houston,W,72,68
16,1/7/2023,Stephen F. Austin,L,68,73
17,1/12/2023,UT Arlington,W,80,48
18,1/14/2023,California Baptist,L,74,79
19,1/18/2023,Utah Tech,W,89,85
20,1/21/2023,Utah Valley,L,74,76
21,1/26/2023,Abilene Christian,W,75,73
22,1/28/2023,Tarleton State,L,62,81
23,2/4/2023,Stephen F. Austin,W,86,83
24,2/8/2023,New Mexico State,W,78,67
25,2/11/2023,Seattle,L,58,63
26,2/15/2023,Texas-Rio Grande Valley,L,76,77
27,2/17/2023,Abilene Christian,W,94,84
28,2/21/2023,Park (AZ),W,111,38
29,2/22/2023,New Mexico State,,,
30,2/24/2023,Seattle,L,54,65
31,3/1/2023,Southern Utah,W,83,78
32,3/3/2023,Utah Tech,W,71,61
33,3/7/2023,UT Arlington,W,82,77
34,3/9/2023,Seattle,W,84,79
35,3/10/2023,Sam Houston,W,78,75
36,3/11/2023,Southern Utah,L,84,66
