G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,The Citadel,W,80,69
2,11/11/2022,South Carolina,L,58,60
3,11/15/2022,USC Upstate,W,81,70
4,11/18/2022,Bellarmine,W,76,66
5,11/21/2022,Loyola (MD),W,72,41
6,11/25/2022,Iowa,L,71,74
7,11/26/2022,California,W,67,59
8,11/29/2022,Penn State,W,101,94
9,12/2/2022,Wake Forest,W,77,57
10,12/7/2022,Towson,W,80,75
11,12/10/2022,Loyola (IL),L,58,76
12,12/17/2022,Richmond,W,85,57
13,12/21/2022,Georgia Tech,W,79,66
14,12/30/2022,NC State,W,78,64
15,1/4/2023,Virginia Tech,W,68,65
16,1/7/2023,Pitt,W,75,74
17,1/11/2023,Louisville,W,83,70
18,1/14/2023,Duke,W,72,64
19,1/17/2023,Wake Forest,L,77,87
20,1/21/2023,Virginia Tech,W,51,50
21,1/24/2023,Georgia Tech,W,72,51
22,1/28/2023,Florida State,W,82,81
23,1/31/2023,Boston College,L,54,62
24,2/4/2023,Miami (FL),L,74,78
25,2/11/2023,UNC,L,71,91
26,2/15/2023,Florida State,W,94,54
27,2/18/2023,Louisville,L,73,83
28,2/22/2023,Syracuse,W,91,73
29,2/25/2023,NC State,W,96,71
30,2/28/2023,Virginia,L,57,64
31,3/4/2023,Notre Dame,W,87,64
32,3/9/2023,NC State,W,80,54
33,3/10/2023,Virginia,L,56,76
34,3/15/2023,Morehead State,L,64,68
