G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Northwestern State,W,73,49
2,11/10/2022,Texas Southern,W,78,54
3,11/14/2022,Louisiana Tech,W,64,55
4,11/21/2022,Creighton,L,65,76
5,11/22/2022,Louisville,W,70,38
6,11/23/2022,Ohio State,L,73,80
7,11/30/2022,Georgetown,W,79,65
8,12/7/2022,Nicholls State,W,78,71
9,12/13/2022,Eastern Washington,W,77,70
10,12/17/2022,Jackson State,W,102,52
11,12/21/2022,Houston Christian,W,111,67
12,12/27/2022,South Carolina State,W,110,71
13,12/31/2022,TCU,L,61,67
14,1/3/2023,Kansas,L,72,75
15,1/7/2023,Oklahoma,L,63,68
16,1/10/2023,Iowa State,L,50,84
17,1/14/2023,Texas,L,70,72
18,1/17/2023,Baylor,L,74,81
19,1/21/2023,Kansas State,L,58,68
20,1/25/2023,West Virginia,L,61,76
21,1/28/2023,LSU,W,76,68
22,1/30/2023,Iowa State,W,80,77
23,2/4/2023,Baylor,L,62,89
24,2/8/2023,Oklahoma State,L,68,71
25,2/11/2023,Kansas State,W,71,63
26,2/13/2023,Texas,W,74,67
27,2/18/2023,West Virginia,W,78,72
28,2/21/2023,Oklahoma,W,74,63
29,2/25/2023,TCU,L,82,83
30,2/28/2023,Kansas,L,63,67
31,3/4/2023,Oklahoma State,L,68,71
32,3/8/2023,West Virginia,L,62,78
