G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,South Dakota,W,85,59
2,11/11/2022,Stanford,W,60,50
3,11/15/2022,Green Bay,W,56,45
4,11/23/2022,Dayton,W,43,42
5,11/24/2022,Kansas,L,68,69
6,11/25/2022,USC,W,64,59
7,11/29/2022,Wake Forest,L,75,78
8,12/3/2022,Marquette,W,80,77
9,12/6/2022,Maryland,W,64,59
10,12/11/2022,Iowa,W,78,75
11,12/15/2022,Lehigh,W,78,56
12,12/23/2022,Grambling,,,
13,12/30/2022,Western Michigan,W,76,66
14,1/3/2023,Minnesota,W,63,60
15,1/7/2023,Illinois,L,69,79
16,1/10/2023,Michigan State,L,65,69
17,1/14/2023,Indiana,L,45,63
18,1/17/2023,Penn State,W,63,60
19,1/23/2023,Northwestern,L,63,66
20,1/25/2023,Maryland,L,55,73
21,1/28/2023,Illinois,L,51,61
22,2/2/2023,Ohio State,W,65,60
23,2/5/2023,Northwestern,L,52,54
24,2/8/2023,Penn State,W,79,74
25,2/11/2023,Nebraska,L,63,73
26,2/14/2023,Michigan,W,64,59
27,2/18/2023,Rutgers,L,57,58
28,2/22/2023,Iowa,W,64,52
29,2/26/2023,Michigan,L,79,87
30,3/2/2023,Purdue,L,61,63
31,3/5/2023,Minnesota,W,71,67
32,3/8/2023,Ohio State,L,57,65
33,3/14/2023,Bradley,W,81,62
34,3/19/2023,Liberty,W,75,71
35,3/21/2023,Oregon,W,61,58
36,3/28/2023,North Texas,L,54,56
