G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Radford,W,79,69
2,11/10/2022,Central Michigan,W,97,73
3,11/15/2022,Purdue,L,70,75
4,11/17/2022,LIU,W,95,58
5,11/21/2022,Mississippi State,L,55,58
6,11/23/2022,Georgia Tech,W,84,60
7,11/26/2022,Chicago State,W,82,68
8,11/29/2022,Baylor,W,96,70
9,12/3/2022,Wisconsin,L,77,80
10,12/6/2022,North Carolina Central,W,90,78
11,12/11/2022,Notre Dame,W,79,64
12,12/16/2022,Creighton,W,69,58
13,12/20/2022,Providence,L,98,103
14,12/27/2022,Seton Hall,W,83,69
15,12/31/2022,Villanova,W,68,66
16,1/3/2023,St. John's (NY),W,96,85
17,1/7/2023,Georgetown,W,95,73
18,1/11/2023,UConn,W,82,76
19,1/15/2023,Xavier,L,76,80
20,1/18/2023,Providence,W,83,75
21,1/21/2023,Seton Hall,W,74,53
22,1/28/2023,DePaul,W,89,69
23,2/1/2023,Villanova,W,73,64
24,2/4/2023,Butler,W,60,52
25,2/7/2023,UConn,L,72,87
26,2/11/2023,Georgetown,W,89,75
27,2/15/2023,Xavier,W,69,68
28,2/21/2023,Creighton,W,73,71
29,2/25/2023,DePaul,W,90,84
30,2/28/2023,Butler,W,72,56
31,3/4/2023,St. John's (NY),W,96,94
32,3/9/2023,St. John's (NY),W,72,70
33,3/10/2023,UConn,W,70,68
34,3/11/2023,Xavier,W,65,51
35,3/17/2023,Vermont,W,78,61
36,3/19/2023,Michigan State,L,60,69
