G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,California Baptist,W,79,64
2,11/11/2022,UCLA,L,69,93
3,11/13/2022,Montana State,L,57,70
4,11/19/2022,St. Katherine,W,84,55
5,11/25/2022,Oakland,W,78,70
6,11/26/2022,North Texas,L,47,68
7,11/27/2022,Vermont,W,78,58
8,12/3/2022,Utah Valley,L,78,88
9,12/10/2022,Sacramento State,L,74,76
10,12/14/2022,USC,L,78,88
11,12/19/2022,Life Pacific,W,97,52
12,12/21/2022,Idaho,W,82,75
13,12/29/2022,UC-San Diego,L,83,85
14,12/31/2022,UC-Riverside,L,72,73
15,1/5/2023,Cal State Northridge,W,84,74
16,1/7/2023,UC-Irvine,L,70,87
17,1/12/2023,Cal Poly,W,77,58
18,1/15/2023,Hawaii,L,70,79
19,1/19/2023,Cal State Fullerton,W,72,67
20,1/21/2023,UC-San Diego,W,112,110
21,1/26/2023,Cal Poly,W,70,52
22,1/28/2023,UC-Davis,W,75,72
23,2/2/2023,Cal State Fullerton,W,70,67
24,2/4/2023,UC-Irvine,W,93,88
25,2/9/2023,UCSB,L,72,75
26,2/11/2023,Cal State Bakersfield,W,79,69
27,2/15/2023,UC-Riverside,L,76,88
28,2/18/2023,Hawaii,L,67,70
29,2/23/2023,UCSB,L,73,78
30,2/25/2023,Cal State Northridge,W,71,64
31,3/2/2023,Cal State Bakersfield,W,77,61
32,3/4/2023,UC-Davis,L,92,93
33,3/7/2023,Cal Poly,L,68,88
