G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Chattanooga,W,85,78
2,11/11/2022,UNC,L,86,102
3,11/14/2022,Richmond,W,92,90
4,11/17/2022,Davidson,W,89,66
5,11/18/2022,Colorado State,W,74,64
6,11/20/2022,Virginia Tech,W,77,75
7,11/23/2022,Kent State,W,74,72
8,11/29/2022,Old Dominion,W,75,60
9,12/3/2022,The Citadel,W,79,57
10,12/6/2022,Presbyterian,W,67,62
11,12/11/2022,North Greenville,W,96,67
12,12/14/2022,Stetson,W,65,60
13,12/19/2022,Coastal Carolina,W,83,69
14,12/29/2022,Hampton,W,89,61
15,12/31/2022,Towson,W,76,74
16,1/4/2023,North Carolina A&T,W,92,79
17,1/7/2023,Delaware,W,75,64
18,1/11/2023,UNC Wilmington,W,71,69
19,1/14/2023,Elon,W,78,60
20,1/16/2023,William & Mary,W,82,54
21,1/19/2023,Monmouth,W,69,55
22,1/21/2023,Northeastern,W,87,61
23,1/28/2023,Hofstra,L,81,85
24,2/2/2023,Drexel,L,69,70
25,2/4/2023,Delaware,W,84,67
26,2/8/2023,UNC Wilmington,W,93,61
27,2/11/2023,Hampton,W,83,70
28,2/13/2023,Northeastern,W,99,63
29,2/16/2023,Elon,W,88,66
30,2/23/2023,Towson,W,83,75
31,2/25/2023,Stony Brook,W,92,52
32,3/5/2023,Stony Brook,W,74,52
33,3/6/2023,Towson,W,77,72
34,3/7/2023,UNC Wilmington,L,63,58
35,3/16/2023,San Diego State,L,57,63
