G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Maine,W,79,66
2,11/10/2022,Omaha,W,75,61
3,11/17/2022,St. John's (NY),L,50,70
4,11/20/2022,Arkansas-Pine Bluff,W,82,58
5,11/24/2022,Oklahoma,L,56,69
6,11/25/2022,Memphis,L,61,73
7,11/27/2022,Florida State,W,75,58
8,11/30/2022,Boston College,W,88,67
9,12/4/2022,Creighton,W,63,53
10,12/7/2022,Indiana,L,65,81
11,12/10/2022,Purdue,L,62,65
12,12/17/2022,Kansas State,L,56,71
13,12/20/2022,Queens (NC),W,75,65
14,12/29/2022,Iowa,W,66,50
15,1/3/2023,Michigan State,L,56,74
16,1/7/2023,Minnesota,W,81,79
17,1/10/2023,Illinois,L,50,76
18,1/13/2023,Purdue,L,55,73
19,1/18/2023,Ohio State,W,63,60
20,1/21/2023,Penn State,L,65,76
21,1/25/2023,Northwestern,L,63,78
22,1/28/2023,Maryland,L,63,82
23,1/31/2023,Illinois,L,56,72
24,2/5/2023,Penn State,W,72,63
25,2/8/2023,Michigan,L,72,93
26,2/11/2023,Wisconsin,W,73,63
27,2/14/2023,Rutgers,W,82,72
28,2/19/2023,Maryland,W,70,66
29,2/25/2023,Minnesota,W,78,67
30,2/28/2023,Michigan State,L,67,80
31,3/5/2023,Iowa,W,81,77
32,3/8/2023,Minnesota,L,75,78
