G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Omaha,W,89,64
2,11/10/2022,North Dakota State,W,82,59
3,11/15/2022,Duke,W,69,64
4,11/18/2022,Southern Utah,W,82,76
5,11/23/2022,NC State,W,80,74
6,11/24/2022,Wisconsin,W,69,68
7,11/25/2022,Tennessee,L,50,64
8,11/28/2022,Texas Southern,W,87,55
9,12/1/2022,Seton Hall,W,91,65
10,12/10/2022,Missouri,W,95,67
11,12/17/2022,Indiana,W,84,62
12,12/22/2022,Harvard,W,68,54
13,12/31/2022,Oklahoma State,W,69,67
14,1/3/2023,Texas Tech,W,75,72
15,1/7/2023,West Virginia,W,76,62
16,1/10/2023,Oklahoma,W,79,75
17,1/14/2023,Iowa State,W,62,60
18,1/17/2023,Kansas State,L,82,83
19,1/21/2023,TCU,L,60,83
20,1/23/2023,Baylor,L,69,75
21,1/28/2023,Kentucky,W,77,68
22,1/31/2023,Kansas State,W,90,78
23,2/4/2023,Iowa State,L,53,68
24,2/6/2023,Texas,W,88,80
25,2/11/2023,Oklahoma,W,78,55
26,2/14/2023,Oklahoma State,W,87,76
27,2/18/2023,Baylor,W,87,71
28,2/20/2023,TCU,W,63,58
29,2/25/2023,West Virginia,W,76,74
30,2/28/2023,Texas Tech,W,67,63
31,3/4/2023,Texas,L,59,75
32,3/9/2023,West Virginia,W,78,61
33,3/10/2023,Iowa State,W,71,58
34,3/11/2023,Texas,L,56,76
35,3/16/2023,Howard,W,96,68
36,3/18/2023,Arkansas,L,71,72
