G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Champion Christian,W,110,54
2,11/11/2022,Tulane,L,58,75
3,11/18/2022,Western Carolina,L,69,88
4,11/19/2022,Lindenwood,L,60,78
5,11/20/2022,Lamar,W,66,57
6,11/23/2022,Baylor,L,60,89
7,11/28/2022,UT-Martin,L,83,86
8,11/30/2022,Tennessee,L,40,76
9,12/9/2022,Northern Iowa,W,52,49
10,12/11/2022,Iowa State,L,40,77
11,12/15/2022,Louisiana,L,70,78
12,12/18/2022,Southern Miss,L,67,86
13,12/21/2022,Houston,L,44,83
14,12/31/2022,Lamar,W,81,62
15,1/5/2023,Northwestern State,W,92,77
16,1/7/2023,East Texas A&M,L,80,82
17,1/12/2023,Northwestern State,L,75,89
18,1/14/2023,Houston Christian,L,81,90
19,1/19/2023,Nicholls State,L,64,73
20,1/21/2023,Nicholls State,L,68,71
21,1/26/2023,Incarnate Word,L,65,70
22,1/28/2023,Texas A&M-Corpus Christi,L,72,83
23,2/2/2023,Lamar,L,63,70
24,2/4/2023,East Texas A&M,L,58,60
25,2/9/2023,Southeastern Louisiana,W,69,66
26,2/11/2023,New Orleans,W,79,78
27,2/16/2023,Incarnate Word,W,78,76
28,2/18/2023,Texas A&M-Corpus Christi,L,54,77
29,2/23/2023,Houston Christian,L,80,85
30,2/25/2023,Southeastern Louisiana,L,75,78
31,3/1/2023,New Orleans,W,80,73
32,3/5/2023,East Texas A&M,W,79,78
33,3/6/2023,Nicholls State,W,77,71
34,3/7/2023,Texas A&M-Corpus Christi,L,63,80
